StemSign,StemRole,Post240Class,StemScore,TotalCount,OP240Count,BareCount,TextCount,TopForms,TopFrame,TopFrameShare,Frames,Sites,Symbols,SemanticFrames,ValidationScore,ValidationStatuses,Examples
484,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.028,1,0,1,1,484-337-151:1,002|<END>,1.000,002|<END>:1,Mohenjo-daro:1,Bull1:S:1,TerminalFormula:1,0.000,,M-119
511,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.028,1,0,1,1,511-130-920:1,002|<END>,1.000,002|<END>:1,Mohenjo-daro:1,,LowEvidenceSequence:1,0.000,,-
521,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.028,1,0,1,1,521-400-031-064:1,002|<END>,1.000,002|<END>:1,Mohenjo-daro:1,,ClassifierSlotTerminalFormula:1,0.000,,M-1974
617,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.028,1,0,1,1,617-600-390:1,002|<END>,1.000,002|<END>:1,Mohenjo-daro:1,Bull1:L:1,LowEvidenceSequence:1,0.000,,M-1692
645,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.028,1,0,1,1,645-017-898:1,002|<END>,1.000,002|<END>:1,Mohenjo-daro:1,,InitialClassifierFormula:1,0.000,,M-2129
790,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.028,1,0,1,1,790-721-390:1,002|<END>,1.000,002|<END>:1,Mohenjo-daro:1,Bull1:J:1,InitialClassifierFormula:1,0.000,,M-724
805,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.028,1,0,1,1,805-233-003-793:1,002|740,1.000,002|740:1,Mohenjo-daro:1,,PrimeEntitySealFormula:1,0.000,,M-391
838,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.028,1,0,1,1,838:1,002|<END>,1.000,002|<END>:1,Mohenjo-daro:1,,InitialClassifierFormula:1,0.000,,M-1420
844,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.028,1,0,1,1,844-390-621:1,002|<END>,1.000,002|<END>:1,Mohenjo-daro:1,Bull1:W:1,InitialClassifierFormula:1,0.000,,M-1675
849,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.028,1,0,1,1,849:1,002|<END>,1.000,002|<END>:1,Kalibangan:1,,LowEvidenceSequence:1,0.000,,K-400
850,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.028,1,0,1,1,850-700-033:1,002|<END>,1.000,002|<END>:1,Mohenjo-daro:1,,LowEvidenceSequence:1,0.000,,M-1233
869,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.028,1,0,1,1,869-390:1,002|<END>,1.000,002|<END>:1,Mohenjo-daro:1,Bull1:1,InitialClassifierFormula:1,0.000,,M-918
880,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.028,1,0,1,1,880:1,002|<END>,1.000,002|<END>:1,Harappa:1,,LowEvidenceSequence:1,0.000,,H-1723
892,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.028,1,0,1,1,892-002-100:1,002|740,1.000,002|740:1,Nausharo:1,,PrimeEntityAdministrativeFormula:1,0.000,,Ns-66
