Frame,Left,Right,Filler,FillerLength,Count,TextCount,SiteCount,RegionCount,TypeCount,FirstSign,FinalSign,StemMinusFinal,RestAfterInitial,DominantSite,DominantSiteShare,DominantRegion,DominantRegionShare,DominantType,DominantTypeShare,DominantSymbol,DominantSymbolShare,SealPct,CompletePct,Examples
002|<END>,002,<END>,140-136,2,1,1,1,1,1,140,136,140,136,Mohenjo-daro,1.0,Lower Indus,1.0,SEAL:S,1.0,Bull1:J,1.0,1.0,1.0,2669.1/M-142/Mohenjo-daro
002|<END>,002,<END>,140-226,2,1,1,1,1,1,140,226,140,226,Mohenjo-daro,1.0,Lower Indus,1.0,SEAL:S,1.0,Bull1:I,1.0,1.0,1.0,3185.1/M-762/Mohenjo-daro
002|<END>,002,<END>,140-269-036,3,1,1,1,1,1,140,036,140-269,269-036,Kalibangan,1.0,Inter-Riverine,1.0,SEAL:S,1.0,Bull1:W,1.0,1.0,1.0,1879.1/K-4/Kalibangan
002|<END>,002,<END>,140-269-740-692-060,5,1,1,1,1,1,140,060,140-269-740-692,269-740-692-060,Mohenjo-daro,1.0,Lower Indus,1.0,SEAL:S,1.0,Buff,1.0,1.0,1.0,3496.1/M-1127/Mohenjo-daro
002|<END>,002,<END>,140-484,2,1,1,1,1,1,140,484,140,484,Mohenjo-daro,1.0,Lower Indus,1.0,TAG:O,1.0,Bull1,1.0,0.0,1.0,3712.1/M-1427/Mohenjo-daro
002|<END>,002,<END>,140-740,2,1,1,1,1,1,140,740,140,740,Mohenjo-daro,1.0,Lower Indus,1.0,SEAL:S,1.0,Zebu,1.0,1.0,1.0,3485.1/M-1114/Mohenjo-daro
002|<END>,002,<END>,140-840,2,1,1,1,1,1,140,840,140,840,Unknown,1.0,Other,1.0,SEAL:S,1.0,Elep,1.0,1.0,0.0,5464.1/-/Unknown
002|<END>,002,<END>,142-279-151,3,1,1,1,1,1,142,151,142-279,279-151,Mohenjo-daro,1.0,Lower Indus,1.0,SEAL:S,1.0,Bull1:J,1.0,1.0,1.0,2599.1/M-71/Mohenjo-daro
002|<END>,002,<END>,142-604-740,3,1,1,1,1,1,142,740,142-604,604-740,Mohenjo-daro,1.0,Lower Indus,1.0,SEAL:S,1.0,Tigr,1.0,1.0,1.0,2232.1/M-1916/Mohenjo-daro
002|<END>,002,<END>,142-617,2,1,1,1,1,1,142,617,142,617,Mohenjo-daro,1.0,Lower Indus,1.0,SEAL:R,1.0,,0.0,1.0,1.0,2204.1/M-1976/Mohenjo-daro
