Probe,Side,Unit,TextId,CISI,Frame,TargetFrame,Site,Type,Symbol,Material,SemanticFrame,ReadingTokens,StructuralParse
240-740-090 :: 235,Neighbor,235,2970.1,M-487,<START>|520,<START>|233,Mohenjo-daro,TAB,Composite/Multiple,Clay,TerminalFormula,235-520,PRODUCTIVE_SLOT(<START>_520)[235] | PRODUCTIVE_SLOT(235_<END>)[520]
240-740-090 :: 235,Neighbor,235,574.1,H-2055,<START>|240,<START>|233,Harappa,TAB,S590,Steatite,TerminalFormula,235-240-740-090,PRODUCTIVE_SLOT(<START>_240)[235] | PRODUCTIVE_SLOT(235_<END>)[240-740-090]
240-740-090 :: 235,Neighbor,235,613.1,-,<START>|520,<START>|233,Harappa,POT,Unknown,Clay,TerminalFormula,235-520,PRODUCTIVE_SLOT(<START>_520)[235] | PRODUCTIVE_SLOT(235_<END>)[520]
240-740-090 :: 235,Neighbor,235,666.1,H-2054,<START>|240,<START>|233,Harappa,TAB,S590,Steatite,TerminalFormula,235-240-740-090,PRODUCTIVE_SLOT(<START>_240)[235] | PRODUCTIVE_SLOT(235_<END>)[240-740-090]
240-740-090 :: 235,Neighbor,235,902.1,H-2020,<START>|240,<START>|233,Harappa,TAB,Gavial,Clay,TerminalFormula,235-240-740-090,PRODUCTIVE_SLOT(<START>_240)[235] | PRODUCTIVE_SLOT(235_<END>)[240-740-090]
240-740-090 :: 235,Neighbor,235,904.1,H-2019,<START>|240,<START>|233,Harappa,TAB,Gavial,Clay,TerminalFormula,235-240-740-090,PRODUCTIVE_SLOT(<START>_240)[235] | PRODUCTIVE_SLOT(235_<END>)[240-740-090]
240-740-090 :: 235,Neighbor,235,4216.1,-,<START>|520,<START>|233,Dholavira,SEAL,Unknown,-,TerminalFormula,235-520,PRODUCTIVE_SLOT(<START>_520)[235] | PRODUCTIVE_SLOT(235_<END>)[520]
240-740-090 :: 235,Neighbor,235,3484.1,M-1113,<START>|233,<START>|233,Mohenjo-daro,SEAL,Zebu,Steatite,LowEvidenceSequence,235-233-550,PRODUCTIVE_SLOT(<START>_233)[235] | PRODUCTIVE_SLOT(235_<END>)[233-550]
240-740-090 :: 235,Neighbor,235,3042.1,M-572,<START>|233,<START>|233,Mohenjo-daro,TAB,Other,Copper,TerminalFormula,235-233-222-740,PRODUCTIVE_SLOT(<START>_233)[235] | PRODUCTIVE_SLOT(235_<END>)[233-222-740]
240-740-090 :: 235,Neighbor,235,3044.2,M-574,<START>|233,<START>|233,Mohenjo-daro,TAB,Other,Copper,TerminalFormula,235-233-222-740,PRODUCTIVE_SLOT(<START>_233)[235] | PRODUCTIVE_SLOT(235_<END>)[233-222-740]
240-740-090 :: 235,Neighbor,235,3774.1,M-1521,<START>|233,<START>|233,Mohenjo-daro,TAB,Rhinoceros,Copper,TerminalFormula,235-233-222-740,PRODUCTIVE_SLOT(<START>_233)[235] | PRODUCTIVE_SLOT(235_<END>)[233-222-740]
240-740-090 :: 235,Neighbor,235,3775.1,M-1522,<START>|233,<START>|233,Mohenjo-daro,TAB,Rhinoceros,Copper,TerminalFormula,235-233-222-740,PRODUCTIVE_SLOT(<START>_233)[235] | PRODUCTIVE_SLOT(235_<END>)[233-222-740]
240-740-090 :: 235,Neighbor,235,2245.1,M-1890,<START>|240,<START>|233,Mohenjo-daro,SEAL,Gaur,Steatite,TerminalFormula,235-240-705-033-520,PRODUCTIVE_SLOT(<START>_240)[235] | PRODUCTIVE_SLOT(235_<END>)[240-705-033-520]
240-740-090 :: 235,Neighbor,235,4008.1,M-1966,<START>|233,<START>|233,Mohenjo-daro,SEAL,Unknown,-,TerminalFormula,235-233-555-527,PRODUCTIVE_SLOT(<START>_233)[235] | PRODUCTIVE_SLOT(235_<END>)[233-555-527]
240-740-090 :: 235,Neighbor,235,1660.1,H-768,<START>|233,<START>|233,Harappa,TAB,Unknown,Faience,TerminalFormula,235-233-705-033-740-400,PRODUCTIVE_SLOT(<START>_233)[235] | PRODUCTIVE_SLOT(235_<END>)[233-705-033-740-400]
