Unit,AbstractUnit,Role,TestClass,Dimension,Category,Count,UnitOccurrences,BaselineCount,Expected,Lift,Log2Lift,AssociationScore,Strength
233-705-033-585-407,A04-A13-A11-R24-R12,TerminalFiller,ControlOrLowPriority,Site,Mohenjo-daro,3,3,333,1.646,1.823,0.866,0.608,Moderate
240-255-435-690-740,A02-R07-R14-R08-T01,TerminalFiller,AffixOrFormulaAnchor,Site,Mohenjo-daro,3,3,333,1.646,1.823,0.866,0.608,Moderate
240-415-100,A02-R13-A15,PrimeEntityFiller,PrimeEntityContextNeeded,Site,Mohenjo-daro,3,3,333,1.646,1.823,0.866,0.608,Moderate
923-740,R26-T01,TerminalFiller,AffixOrFormulaAnchor,Site,Mohenjo-daro,3,3,333,1.646,1.823,0.866,0.608,Moderate
061-740,R29-T01,TerminalFiller,CrossFramePhoneticAnchor,SemanticFrame,ClassifierSlotTerminalFormula,2,3,86,0.425,4.705,2.234,0.604,Moderate
705-033-520,A13-A11-T02,TerminalFiller,CrossFramePhoneticAnchor,SemanticFrame,ClassifierSlotTerminalFormula,2,3,86,0.425,4.705,2.234,0.604,Moderate
706-033-520,R09-A11-T02,TerminalFiller,CrossFramePhoneticAnchor,SemanticFrame,ClassifierSlotTerminalFormula,2,3,86,0.425,4.705,2.234,0.604,Moderate
233,A04,InitialFiller,CrossFramePhoneticAnchor,Region,Inter-Riverine,5,10,185,3.048,1.641,0.714,0.599,Moderate
233-222-740,A04-R31-T01,TerminalFiller,ControlOrLowPriority,SemanticFrame,TerminalFormula,4,5,309,2.545,1.572,0.652,0.598,Moderate
001,A05,InitialFiller,CrossFramePhoneticAnchor,Site,Banawali,2,4,2,0.013,151.75,7.246,0.596,Moderate
001,A05,InitialFiller,CrossFramePhoneticAnchor,Region,Eastern Headwaters,2,4,4,0.026,75.875,6.246,0.595,Moderate
032-590,A07-A08,InitialFiller,AffixOrFormulaAnchor,Symbol,Bull,3,3,358,1.769,1.696,0.762,0.594,Moderate
125,R05,InitialFiller,CrossFramePhoneticAnchor,Symbol,Bull,3,3,358,1.769,1.696,0.762,0.594,Moderate
235-222,M01-R31,PrimeEntityFiller,StrongOnomasticAnchor,Symbol,Bull,3,3,358,1.769,1.696,0.762,0.594,Moderate
240-415-100,A02-R13-A15,PrimeEntityFiller,PrimeEntityContextNeeded,Symbol,Bull,3,3,358,1.769,1.696,0.762,0.594,Moderate
706-033-520,R09-A11-T02,TerminalFiller,CrossFramePhoneticAnchor,Symbol,Bull,3,3,358,1.769,1.696,0.762,0.594,Moderate
760-740,A16-T01,TerminalFiller,CrossFramePhoneticAnchor,Symbol,Bull,3,3,358,1.769,1.696,0.762,0.594,Moderate
817-002-003,C03-A01-M05,InitialFiller,ControlOrLowPriority,Symbol,Bull,3,3,358,1.769,1.696,0.762,0.594,Moderate
233-705-033-585-407,A04-A13-A11-R24-R12,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,3,3,360,1.779,1.686,0.754,0.593,Moderate
240-255-435-690-740,A02-R07-R14-R08-T01,TerminalFiller,AffixOrFormulaAnchor,Region,Lower Indus,3,3,360,1.779,1.686,0.754,0.593,Moderate
240-415-100,A02-R13-A15,PrimeEntityFiller,PrimeEntityContextNeeded,Region,Lower Indus,3,3,360,1.779,1.686,0.754,0.593,Moderate
923-740,R26-T01,TerminalFiller,AffixOrFormulaAnchor,Region,Lower Indus,3,3,360,1.779,1.686,0.754,0.593,Moderate
861-002,C02-A01,InitialFiller,CrossFramePhoneticAnchor,Site,Harappa,8,18,174,5.16,1.55,0.633,0.592,Moderate
520-400,T02-T03,TerminalFiller,ControlOrLowPriority,Symbol,Gaur,2,4,27,0.178,11.241,3.491,0.592,Moderate
798,A14,InitialFiller,CrossFramePhoneticAnchor,Material,Faience,2,4,30,0.198,10.117,3.339,0.592,Moderate
140,M07,InitialFiller,CrossFramePhoneticAnchor,Site,Harappa,4,7,174,2.007,1.993,0.995,0.583,Moderate
176,R02,PrimeEntityFiller,StrongOnomasticAnchor,Site,Mohenjo-daro,4,5,333,2.743,1.458,0.544,0.582,Moderate
240-740-090,A02-T01-A10,TerminalFiller,CrossFramePhoneticAnchor,Region,Inter-Riverine,6,13,185,3.962,1.514,0.599,0.577,Moderate
861-002,C02-A01,InitialFiller,CrossFramePhoneticAnchor,Region,Inter-Riverine,8,18,185,5.486,1.458,0.544,0.576,Moderate
140,M07,InitialFiller,CrossFramePhoneticAnchor,Region,Inter-Riverine,4,7,185,2.133,1.875,0.907,0.571,Moderate
233-222-740,A04-R31-T01,TerminalFiller,ControlOrLowPriority,Symbol,Rhinoceros,2,5,6,0.049,40.467,5.339,0.567,Moderate
125,R05,InitialFiller,CrossFramePhoneticAnchor,Material,Steatite,3,3,412,2.036,1.473,0.559,0.566,Moderate
240-415-100,A02-R13-A15,PrimeEntityFiller,PrimeEntityContextNeeded,Material,Steatite,3,3,412,2.036,1.473,0.559,0.566,Moderate
240-636-740-400,A02-R48-T01-T03,TerminalFiller,ControlOrLowPriority,Material,Steatite,3,3,412,2.036,1.473,0.559,0.566,Moderate
590-390,A08-M02,PrimeEntityFiller,StrongOnomasticAnchor,Material,Steatite,3,3,412,2.036,1.473,0.559,0.566,Moderate
705-033-520,A13-A11-T02,TerminalFiller,CrossFramePhoneticAnchor,Material,Steatite,3,3,412,2.036,1.473,0.559,0.566,Moderate
706-033-520,R09-A11-T02,TerminalFiller,CrossFramePhoneticAnchor,Material,Steatite,3,3,412,2.036,1.473,0.559,0.566,Moderate
760-740,A16-T01,TerminalFiller,CrossFramePhoneticAnchor,Material,Steatite,3,3,412,2.036,1.473,0.559,0.566,Moderate
817-002-003,C03-A01-M05,InitialFiller,ControlOrLowPriority,Material,Steatite,3,3,412,2.036,1.473,0.559,0.566,Moderate
923-740,R26-T01,TerminalFiller,AffixOrFormulaAnchor,Material,Steatite,3,3,412,2.036,1.473,0.559,0.566,Moderate
048-740,R43-T01,TerminalFiller,AffixOrFormulaAnchor,Material,Faience,2,5,30,0.247,8.093,3.017,0.563,Moderate
806-235,M06-M01,InitialFiller,AffixOrFormulaAnchor,Symbol,Comp,2,6,3,0.03,67.444,6.076,0.549,Moderate
806,M06,InitialFiller,AffixOrFormulaAnchor,Symbol,Other,2,6,6,0.059,33.722,5.076,0.548,Moderate
233,A04,InitialFiller,CrossFramePhoneticAnchor,Type,TAB,4,10,116,1.911,2.093,1.066,0.545,Moderate
032-877-740,A07-R81-T01,InitialFiller,AffixOrFormulaAnchor,SemanticFrame,TerminalFormula,2,2,309,1.018,1.964,0.974,0.545,Moderate
066,R104,InitialFiller,ControlOrLowPriority,SemanticFrame,TerminalFormula,2,2,309,1.018,1.964,0.974,0.545,Moderate
201-060,R110-A06,InitialFiller,AffixOrFormulaAnchor,SemanticFrame,TerminalFormula,2,2,309,1.018,1.964,0.974,0.545,Moderate
240-100-740,A02-A15-T01,TerminalFiller,AffixOrFormulaAnchor,SemanticFrame,TerminalFormula,2,2,309,1.018,1.964,0.974,0.545,Moderate
240-706-033-520,A02-R09-A11-T02,TerminalFiller,AffixOrFormulaAnchor,SemanticFrame,TerminalFormula,2,2,309,1.018,1.964,0.974,0.545,Moderate
255-435-690,R07-R14-R08,PreTerminalFiller,AffixOrFormulaAnchor,SemanticFrame,TerminalFormula,2,2,309,1.018,1.964,0.974,0.545,Moderate
255-435-690-740-900,R07-R14-R08-T01-R06,InitialFiller,ControlOrLowPriority,SemanticFrame,TerminalFormula,2,2,309,1.018,1.964,0.974,0.545,Moderate
320-920-740-400,R37-M04-T01-T03,TerminalFiller,ControlOrLowPriority,SemanticFrame,TerminalFormula,2,2,309,1.018,1.964,0.974,0.545,Moderate
368-572,R04-R74,InitialFiller,ControlOrLowPriority,SemanticFrame,TerminalFormula,2,2,309,1.018,1.964,0.974,0.545,Moderate
482,R16,PreTerminalFiller,AffixOrFormulaAnchor,SemanticFrame,TerminalFormula,2,2,309,1.018,1.964,0.974,0.545,Moderate
550-060,R15-A06,InitialFiller,AffixOrFormulaAnchor,SemanticFrame,TerminalFormula,2,2,309,1.018,1.964,0.974,0.545,Moderate
752-740,R59-T01,TerminalFiller,ControlOrLowPriority,SemanticFrame,TerminalFormula,2,2,309,1.018,1.964,0.974,0.545,Moderate
803-233,A12-A04,InitialFiller,AffixOrFormulaAnchor,SemanticFrame,TerminalFormula,2,2,309,1.018,1.964,0.974,0.545,Moderate
803-235,A12-M01,InitialFiller,AffixOrFormulaAnchor,SemanticFrame,TerminalFormula,2,2,309,1.018,1.964,0.974,0.545,Moderate
904-031-740,R19-M03-T01,TerminalFiller,ControlOrLowPriority,SemanticFrame,TerminalFormula,2,2,309,1.018,1.964,0.974,0.545,Moderate
920,M04,InitialFiller,ControlOrLowPriority,SemanticFrame,TerminalFormula,2,2,309,1.018,1.964,0.974,0.545,Moderate
920-060-745-235,M04-A06-R77-M01,InitialFiller,ControlOrLowPriority,SemanticFrame,TerminalFormula,2,2,309,1.018,1.964,0.974,0.545,Moderate
240,A02,TerminalFiller,CrossFramePhoneticAnchor,SemanticFrame,InitialClassifierFormula,2,6,36,0.356,5.62,2.491,0.541,Moderate
806-235,M06-M01,InitialFiller,AffixOrFormulaAnchor,Type,TAB,3,6,116,1.147,2.616,1.388,0.536,Moderate
003-156,M05-T06,TerminalFiller,AffixOrFormulaAnchor,Site,Mohenjo-daro,2,2,333,1.097,1.823,0.866,0.531,Moderate
140-919,M07-R145,InitialFiller,ControlOrLowPriority,Site,Mohenjo-daro,2,2,333,1.097,1.823,0.866,0.531,Moderate
235-590-390,M01-A08-M02,PrimeEntityFiller,PrimeEntityContextNeeded,Site,Mohenjo-daro,2,2,333,1.097,1.823,0.866,0.531,Moderate
235-760,M01-A16,PrimeEntityFiller,PrimeEntityContextNeeded,Site,Mohenjo-daro,2,2,333,1.097,1.823,0.866,0.531,Moderate
240-706-033-520,A02-R09-A11-T02,TerminalFiller,AffixOrFormulaAnchor,Site,Mohenjo-daro,2,2,333,1.097,1.823,0.866,0.531,Moderate
240-773,A02-R60,PrimeEntityFiller,PrimeEntityContextNeeded,Site,Mohenjo-daro,2,2,333,1.097,1.823,0.866,0.531,Moderate
255-435-690,R07-R14-R08,PreTerminalFiller,AffixOrFormulaAnchor,Site,Mohenjo-daro,2,2,333,1.097,1.823,0.866,0.531,Moderate
255-435-690-740-900,R07-R14-R08-T01-R06,InitialFiller,ControlOrLowPriority,Site,Mohenjo-daro,2,2,333,1.097,1.823,0.866,0.531,Moderate
361,R127,InitialFiller,AffixOrFormulaAnchor,Site,Mohenjo-daro,2,2,333,1.097,1.823,0.866,0.531,Moderate
416,R34,TerminalFiller,AffixOrFormulaAnchor,Site,Mohenjo-daro,2,2,333,1.097,1.823,0.866,0.531,Moderate
435,R14,TerminalFiller,ControlOrLowPriority,Site,Mohenjo-daro,2,2,333,1.097,1.823,0.866,0.531,Moderate
482,R16,PreTerminalFiller,AffixOrFormulaAnchor,Site,Mohenjo-daro,2,2,333,1.097,1.823,0.866,0.531,Moderate
590-003-900-002,A08-M05-R06-A01,InitialFiller,ControlOrLowPriority,Site,Mohenjo-daro,2,2,333,1.097,1.823,0.866,0.531,Moderate
692,R18,InitialFiller,AffixOrFormulaAnchor,Site,Mohenjo-daro,2,2,333,1.097,1.823,0.866,0.531,Moderate
740-679,T01-R35,TerminalFiller,AffixOrFormulaAnchor,Site,Mohenjo-daro,2,2,333,1.097,1.823,0.866,0.531,Moderate
741-592,A03-R97,TerminalFiller,ControlOrLowPriority,Site,Mohenjo-daro,2,2,333,1.097,1.823,0.866,0.531,Moderate
752-740,R59-T01,TerminalFiller,ControlOrLowPriority,Site,Mohenjo-daro,2,2,333,1.097,1.823,0.866,0.531,Moderate
803-233,A12-A04,InitialFiller,AffixOrFormulaAnchor,Site,Mohenjo-daro,2,2,333,1.097,1.823,0.866,0.531,Moderate
803-235,A12-M01,InitialFiller,AffixOrFormulaAnchor,Site,Mohenjo-daro,2,2,333,1.097,1.823,0.866,0.531,Moderate
861-002-003,C02-A01-M05,InitialFiller,ControlOrLowPriority,Site,Mohenjo-daro,2,2,333,1.097,1.823,0.866,0.531,Moderate
861-368,C02-R04,InitialFiller,ControlOrLowPriority,Site,Mohenjo-daro,2,2,333,1.097,1.823,0.866,0.531,Moderate
920,M04,InitialFiller,ControlOrLowPriority,Site,Mohenjo-daro,2,2,333,1.097,1.823,0.866,0.531,Moderate
104-645-590-235,R30-R25-A08-M01,InitialFiller,ControlOrLowPriority,Material,Faience,2,7,30,0.346,5.781,2.531,0.529,Moderate
817-002,C03-A01,InitialFiller,AffixOrFormulaAnchor,Material,Clay,3,16,28,0.738,4.065,2.023,0.528,Moderate
520,T02,TerminalFiller,CrossFramePhoneticAnchor,Type,TAB,6,21,116,4.013,1.495,0.58,0.525,Moderate
176-740,R02-T01,TerminalFiller,CrossFramePhoneticAnchor,Symbol,Other,2,8,6,0.079,25.292,4.661,0.524,Moderate
820-002,C01-A01,InitialFiller,CrossFramePhoneticAnchor,Type,TAG,2,8,7,0.092,21.679,4.438,0.524,Moderate
003,M05,InitialFiller,CrossFramePhoneticAnchor,Region,Inter-Riverine,4,8,185,2.438,1.641,0.714,0.523,Moderate
820-002,C01-A01,InitialFiller,CrossFramePhoneticAnchor,Site,Dholavira,2,8,21,0.277,7.226,2.853,0.52,Moderate
861-002,C02-A01,InitialFiller,CrossFramePhoneticAnchor,Material,Unknown,5,18,111,3.292,1.519,0.603,0.519,Moderate
032-070-590-390,A07-R20-A08-M02,PrimeEntityFiller,PrimeEntityContextNeeded,Symbol,Bull,2,2,358,1.18,1.696,0.762,0.518,Moderate
032-220,A07-A09,PrimeEntityFiller,StrongOnomasticAnchor,Symbol,Bull,2,2,358,1.18,1.696,0.762,0.518,Moderate
066,R104,InitialFiller,ControlOrLowPriority,Symbol,Bull,2,2,358,1.18,1.696,0.762,0.518,Moderate
072,R83,InitialFiller,AffixOrFormulaAnchor,Symbol,Bull,2,2,358,1.18,1.696,0.762,0.518,Moderate
201-060,R110-A06,InitialFiller,AffixOrFormulaAnchor,Symbol,Bull,2,2,358,1.18,1.696,0.762,0.518,Moderate
235-760,M01-A16,PrimeEntityFiller,PrimeEntityContextNeeded,Symbol,Bull,2,2,358,1.18,1.696,0.762,0.518,Moderate
240-773,A02-R60,PrimeEntityFiller,PrimeEntityContextNeeded,Symbol,Bull,2,2,358,1.18,1.696,0.762,0.518,Moderate
361,R127,InitialFiller,AffixOrFormulaAnchor,Symbol,Bull,2,2,358,1.18,1.696,0.762,0.518,Moderate
550-060,R15-A06,InitialFiller,AffixOrFormulaAnchor,Symbol,Bull,2,2,358,1.18,1.696,0.762,0.518,Moderate
590-003-900-002,A08-M05-R06-A01,InitialFiller,ControlOrLowPriority,Symbol,Bull,2,2,358,1.18,1.696,0.762,0.518,Moderate
590-390-740,A08-M02-T01,TerminalFiller,CrossFramePhoneticAnchor,Symbol,Bull,2,2,358,1.18,1.696,0.762,0.518,Moderate
630,R75,InitialFiller,AffixOrFormulaAnchor,Symbol,Bull,2,2,358,1.18,1.696,0.762,0.518,Moderate
692,R18,InitialFiller,AffixOrFormulaAnchor,Symbol,Bull,2,2,358,1.18,1.696,0.762,0.518,Moderate
705,A13,InitialFiller,CrossFramePhoneticAnchor,Symbol,Bull,2,2,358,1.18,1.696,0.762,0.518,Moderate
740-679,T01-R35,TerminalFiller,AffixOrFormulaAnchor,Symbol,Bull,2,2,358,1.18,1.696,0.762,0.518,Moderate
741-592,A03-R97,TerminalFiller,ControlOrLowPriority,Symbol,Bull,2,2,358,1.18,1.696,0.762,0.518,Moderate
803-235,A12-M01,InitialFiller,AffixOrFormulaAnchor,Symbol,Bull,2,2,358,1.18,1.696,0.762,0.518,Moderate
803-235-520,A12-M01-T02,TerminalFiller,AffixOrFormulaAnchor,Symbol,Bull,2,2,358,1.18,1.696,0.762,0.518,Moderate
861,C02,InitialFiller,CrossFramePhoneticAnchor,Symbol,Bull,2,2,358,1.18,1.696,0.762,0.518,Moderate
861-002-003,C02-A01-M05,InitialFiller,ControlOrLowPriority,Symbol,Bull,2,2,358,1.18,1.696,0.762,0.518,Moderate
920-060-745-235,M04-A06-R77-M01,InitialFiller,ControlOrLowPriority,Symbol,Bull,2,2,358,1.18,1.696,0.762,0.518,Moderate
003-156,M05-T06,TerminalFiller,AffixOrFormulaAnchor,Region,Lower Indus,2,2,360,1.186,1.686,0.754,0.517,Moderate
140-919,M07-R145,InitialFiller,ControlOrLowPriority,Region,Lower Indus,2,2,360,1.186,1.686,0.754,0.517,Moderate
235-590-390,M01-A08-M02,PrimeEntityFiller,PrimeEntityContextNeeded,Region,Lower Indus,2,2,360,1.186,1.686,0.754,0.517,Moderate
235-760,M01-A16,PrimeEntityFiller,PrimeEntityContextNeeded,Region,Lower Indus,2,2,360,1.186,1.686,0.754,0.517,Moderate
240-706-033-520,A02-R09-A11-T02,TerminalFiller,AffixOrFormulaAnchor,Region,Lower Indus,2,2,360,1.186,1.686,0.754,0.517,Moderate
240-773,A02-R60,PrimeEntityFiller,PrimeEntityContextNeeded,Region,Lower Indus,2,2,360,1.186,1.686,0.754,0.517,Moderate
255-435-690,R07-R14-R08,PreTerminalFiller,AffixOrFormulaAnchor,Region,Lower Indus,2,2,360,1.186,1.686,0.754,0.517,Moderate
255-435-690-740-900,R07-R14-R08-T01-R06,InitialFiller,ControlOrLowPriority,Region,Lower Indus,2,2,360,1.186,1.686,0.754,0.517,Moderate
361,R127,InitialFiller,AffixOrFormulaAnchor,Region,Lower Indus,2,2,360,1.186,1.686,0.754,0.517,Moderate
416,R34,TerminalFiller,AffixOrFormulaAnchor,Region,Lower Indus,2,2,360,1.186,1.686,0.754,0.517,Moderate
435,R14,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,2,2,360,1.186,1.686,0.754,0.517,Moderate
482,R16,PreTerminalFiller,AffixOrFormulaAnchor,Region,Lower Indus,2,2,360,1.186,1.686,0.754,0.517,Moderate
590-003-900-002,A08-M05-R06-A01,InitialFiller,ControlOrLowPriority,Region,Lower Indus,2,2,360,1.186,1.686,0.754,0.517,Moderate
692,R18,InitialFiller,AffixOrFormulaAnchor,Region,Lower Indus,2,2,360,1.186,1.686,0.754,0.517,Moderate
740-679,T01-R35,TerminalFiller,AffixOrFormulaAnchor,Region,Lower Indus,2,2,360,1.186,1.686,0.754,0.517,Moderate
741-592,A03-R97,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,2,2,360,1.186,1.686,0.754,0.517,Moderate
752-740,R59-T01,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,2,2,360,1.186,1.686,0.754,0.517,Moderate
803-233,A12-A04,InitialFiller,AffixOrFormulaAnchor,Region,Lower Indus,2,2,360,1.186,1.686,0.754,0.517,Moderate
803-235,A12-M01,InitialFiller,AffixOrFormulaAnchor,Region,Lower Indus,2,2,360,1.186,1.686,0.754,0.517,Moderate
803-235-520,A12-M01-T02,TerminalFiller,AffixOrFormulaAnchor,Region,Lower Indus,2,2,360,1.186,1.686,0.754,0.517,Moderate
861-002-003,C02-A01-M05,InitialFiller,ControlOrLowPriority,Region,Lower Indus,2,2,360,1.186,1.686,0.754,0.517,Moderate
861-368,C02-R04,InitialFiller,ControlOrLowPriority,Region,Lower Indus,2,2,360,1.186,1.686,0.754,0.517,Moderate
920,M04,InitialFiller,ControlOrLowPriority,Region,Lower Indus,2,2,360,1.186,1.686,0.754,0.517,Moderate
240-482,A02-R16,PrimeEntityFiller,StrongOnomasticAnchor,Material,Clay,2,8,28,0.369,5.42,2.438,0.512,Moderate
740,T01,TerminalFiller,CrossFramePhoneticAnchor,Material,Terracotta,2,10,4,0.066,30.35,4.924,0.511,Moderate
740,T01,TerminalFiller,CrossFramePhoneticAnchor,Symbol,Gavial,2,10,6,0.099,20.233,4.339,0.51,Moderate
740,T01,TerminalFiller,CrossFramePhoneticAnchor,Site,Kalibangan,2,10,10,0.165,12.14,3.602,0.509,Moderate
820-002,C01-A01,InitialFiller,CrossFramePhoneticAnchor,SemanticFrame,ClassifierSlotTerminalFormula,3,8,86,1.133,2.647,1.404,0.504,Moderate
176-740-090,R02-T01-A10,TerminalFiller,AffixOrFormulaAnchor,Material,Faience,2,8,30,0.395,5.058,2.339,0.5,Moderate
347,R32,InitialFiller,ControlOrLowPriority,Material,Faience,2,8,30,0.395,5.058,2.339,0.5,Moderate
240-740-090,A02-T01-A10,TerminalFiller,CrossFramePhoneticAnchor,Symbol,S590,2,13,2,0.043,46.692,5.545,0.498,Moderate
240-740-090,A02-T01-A10,TerminalFiller,CrossFramePhoneticAnchor,Symbol,Gavial,2,13,6,0.129,15.564,3.96,0.497,Moderate
004-407,R28-R12,TerminalFiller,CrossFramePhoneticAnchor,SemanticFrame,TerminalFormula,3,4,309,2.036,1.473,0.559,0.496,Moderate
798,A14,InitialFiller,CrossFramePhoneticAnchor,SemanticFrame,TerminalFormula,3,4,309,2.036,1.473,0.559,0.496,Moderate
031,M03,InitialFiller,CrossFramePhoneticAnchor,SemanticFrame,LowEvidenceSequence,3,11,57,1.033,2.904,1.538,0.492,Moderate
003-156,M05-T06,TerminalFiller,AffixOrFormulaAnchor,Material,Steatite,2,2,412,1.357,1.473,0.559,0.491,Moderate
016-220,R64-A09,InitialFiller,AffixOrFormulaAnchor,Material,Steatite,2,2,412,1.357,1.473,0.559,0.491,Moderate
032-070-590-390,A07-R20-A08-M02,PrimeEntityFiller,PrimeEntityContextNeeded,Material,Steatite,2,2,412,1.357,1.473,0.559,0.491,Moderate
072,R83,InitialFiller,AffixOrFormulaAnchor,Material,Steatite,2,2,412,1.357,1.473,0.559,0.491,Moderate
140-919,M07-R145,InitialFiller,ControlOrLowPriority,Material,Steatite,2,2,412,1.357,1.473,0.559,0.491,Moderate
201-060,R110-A06,InitialFiller,AffixOrFormulaAnchor,Material,Steatite,2,2,412,1.357,1.473,0.559,0.491,Moderate
235-590-390,M01-A08-M02,PrimeEntityFiller,PrimeEntityContextNeeded,Material,Steatite,2,2,412,1.357,1.473,0.559,0.491,Moderate
235-760,M01-A16,PrimeEntityFiller,PrimeEntityContextNeeded,Material,Steatite,2,2,412,1.357,1.473,0.559,0.491,Moderate
240-100-740,A02-A15-T01,TerminalFiller,AffixOrFormulaAnchor,Material,Steatite,2,2,412,1.357,1.473,0.559,0.491,Moderate
240-176,A02-R02,PrimeEntityFiller,StrongOnomasticAnchor,Material,Steatite,2,2,412,1.357,1.473,0.559,0.491,Moderate
255-435-690,R07-R14-R08,PreTerminalFiller,AffixOrFormulaAnchor,Material,Steatite,2,2,412,1.357,1.473,0.559,0.491,Moderate
482,R16,PreTerminalFiller,AffixOrFormulaAnchor,Material,Steatite,2,2,412,1.357,1.473,0.559,0.491,Moderate
550-060,R15-A06,InitialFiller,AffixOrFormulaAnchor,Material,Steatite,2,2,412,1.357,1.473,0.559,0.491,Moderate
590-390-740,A08-M02-T01,TerminalFiller,CrossFramePhoneticAnchor,Material,Steatite,2,2,412,1.357,1.473,0.559,0.491,Moderate
630,R75,InitialFiller,AffixOrFormulaAnchor,Material,Steatite,2,2,412,1.357,1.473,0.559,0.491,Moderate
692,R18,InitialFiller,AffixOrFormulaAnchor,Material,Steatite,2,2,412,1.357,1.473,0.559,0.491,Moderate
740-679,T01-R35,TerminalFiller,AffixOrFormulaAnchor,Material,Steatite,2,2,412,1.357,1.473,0.559,0.491,Moderate
741-350-504,A03-R11-R45,TerminalFiller,ControlOrLowPriority,Material,Steatite,2,2,412,1.357,1.473,0.559,0.491,Moderate
741-592,A03-R97,TerminalFiller,ControlOrLowPriority,Material,Steatite,2,2,412,1.357,1.473,0.559,0.491,Moderate
752-740,R59-T01,TerminalFiller,ControlOrLowPriority,Material,Steatite,2,2,412,1.357,1.473,0.559,0.491,Moderate
803-233,A12-A04,InitialFiller,AffixOrFormulaAnchor,Material,Steatite,2,2,412,1.357,1.473,0.559,0.491,Moderate
803-235-520,A12-M01-T02,TerminalFiller,AffixOrFormulaAnchor,Material,Steatite,2,2,412,1.357,1.473,0.559,0.491,Moderate
861-002-003,C02-A01-M05,InitialFiller,ControlOrLowPriority,Material,Steatite,2,2,412,1.357,1.473,0.559,0.491,Moderate
904-031-740,R19-M03-T01,TerminalFiller,ControlOrLowPriority,Material,Steatite,2,2,412,1.357,1.473,0.559,0.491,Moderate
920,M04,InitialFiller,ControlOrLowPriority,Material,Steatite,2,2,412,1.357,1.473,0.559,0.491,Moderate
920-060-745-235,M04-A06-R77-M01,InitialFiller,ControlOrLowPriority,Material,Steatite,2,2,412,1.357,1.473,0.559,0.491,Moderate
140,M07,InitialFiller,CrossFramePhoneticAnchor,Type,TAB,3,7,116,1.338,2.243,1.165,0.488,Moderate
817-002,C03-A01,InitialFiller,AffixOrFormulaAnchor,Symbol,Tigr,2,16,5,0.132,15.175,3.924,0.488,Moderate
706-033-520,R09-A11-T02,TerminalFiller,CrossFramePhoneticAnchor,Site,Harappa,2,3,174,0.86,2.326,1.218,0.482,Moderate
520,T02,TerminalFiller,CrossFramePhoneticAnchor,Site,Banawali,2,21,2,0.069,28.905,4.853,0.481,Moderate
520,T02,TerminalFiller,CrossFramePhoneticAnchor,Region,Eastern Headwaters,2,21,4,0.138,14.452,3.853,0.48,Moderate
235,M01,InitialFiller,CrossFramePhoneticAnchor,Symbol,S590,2,28,2,0.092,21.679,4.438,0.474,Moderate
706-033-520,R09-A11-T02,TerminalFiller,CrossFramePhoneticAnchor,Region,Inter-Riverine,2,3,185,0.914,2.187,1.129,0.471,Moderate
235,M01,InitialFiller,CrossFramePhoneticAnchor,Symbol,Gavial,2,28,6,0.277,7.226,2.853,0.47,Moderate
235,M01,InitialFiller,CrossFramePhoneticAnchor,Symbol,Other,2,28,6,0.277,7.226,2.853,0.47,Moderate
235,M01,InitialFiller,CrossFramePhoneticAnchor,Symbol,Rhinoceros,2,28,6,0.277,7.226,2.853,0.47,Moderate
820-002,C01-A01,InitialFiller,CrossFramePhoneticAnchor,SemanticFrame,PrimeEntitySealFormula,3,8,104,1.371,2.189,1.13,0.468,Moderate
233,A04,InitialFiller,CrossFramePhoneticAnchor,Symbol,Gaur,2,10,27,0.445,4.496,2.169,0.466,Moderate
240,A02,TerminalFiller,CrossFramePhoneticAnchor,SemanticFrame,LowEvidenceSequence,2,6,57,0.563,3.55,1.828,0.463,Moderate
520,T02,TerminalFiller,CrossFramePhoneticAnchor,Symbol,Composite/Multiple,2,21,11,0.381,5.255,2.394,0.463,Moderate
003,M05,InitialFiller,CrossFramePhoneticAnchor,Material,Unknown,3,8,111,1.463,2.051,1.036,0.456,Moderate
798,A14,InitialFiller,CrossFramePhoneticAnchor,Type,TAB,2,4,116,0.764,2.616,1.388,0.456,Moderate
920-060,M04-A06,InitialFiller,AffixOrFormulaAnchor,Type,TAG,2,33,7,0.381,5.255,2.394,0.453,Moderate
176-740,R02-T01,TerminalFiller,CrossFramePhoneticAnchor,Type,TAB,3,8,116,1.529,1.962,0.973,0.447,Moderate
803,A12,InitialFiller,CrossFramePhoneticAnchor,Region,Inter-Riverine,3,6,185,1.829,1.641,0.714,0.447,Moderate
920-060,M04-A06,InitialFiller,AffixOrFormulaAnchor,Region,Gujarat/Kutch,4,33,45,2.446,1.635,0.709,0.416,Moderate
235,M01,InitialFiller,CrossFramePhoneticAnchor,Symbol,Gaur,3,28,27,1.245,2.409,1.268,0.411,Moderate
235,M01,InitialFiller,CrossFramePhoneticAnchor,Symbol,Composite/Multiple,2,28,11,0.507,3.942,1.979,0.407,Moderate
240-740-090,A02-T01-A10,TerminalFiller,CrossFramePhoneticAnchor,Material,Clay,2,13,28,0.6,3.335,1.738,0.402,Moderate
