"Sign","Total","Start","End","Medial","Singleton","StartPct","EndPct","MedialPct","SingletonPct","MeanNormPosition","EndMinusStart"
"483","2","0","0","2","0","0","0","1","0","0.75","0"
"494","2","1","1","0","0","0.5","0.5","0","0","0.5","0"
"513","2","1","0","1","0","0.5","0","0.5","0","0.4167","-0.5"
"516","2","2","0","0","0","1","0","0","0","0","-1"
"528","2","2","0","0","0","1","0","0","0","0","-1"
"533","2","0","0","2","0","0","0","1","0","0.1288","0"
"534","2","0","1","1","0","0","0.5","0.5","0","0.6667","0.5"
"544","2","1","0","1","0","0.5","0","0.5","0","0.4","-0.5"
"560","2","1","0","1","0","0.5","0","0.5","0","0.4167","-0.5"
"579","2","2","0","0","0","1","0","0","0","0","-1"
"600","2","0","1","1","0","0","0.5","0.5","0","0.9286","0.5"
"610","2","0","0","2","0","0","0","1","0","0.4583","0"
"678","2","2","0","0","0","1","0","0","0","0","-1"
"680","2","0","1","1","0","0","0.5","0.5","0","0.875","0.5"
"683","2","2","0","0","0","1","0","0","0","0","-1"
"688","2","0","2","0","0","0","1","0","0","1","1"
"697","2","0","0","2","0","0","0","1","0","0.8333","0"
