"Sign","TotalTokens","TextCount","SiteCount","RegionCount","TypeCount","DamagedContextTokens","RarityBand","PositionTotal","Start","End","Medial","Singleton","StartPct","EndPct","MedialPct","SingletonPct","MeanNormPosition","CandidateClasses"
"776","11","11","5","3","5","6","Low6To19","8","1","2","5","0","0.125","0.25","0.625","0","0.4878","Unclassified"
"853","11","11","2","2","2","4","Low6To19","10","9","0","1","0","0.9","0","0.1","0","0.025","Unclassified"
"880","11","11","4","3","4","5","Low6To19","7","5","0","2","0","0.7143","0","0.2857","0","0.119","Unclassified"
"927","11","11","3","3","3","4","Low6To19","9","3","0","6","0","0.3333","0","0.6667","0","0.4537","Unclassified"
"056","10","10","3","2","3","2","Low6To19","10","1","0","9","0","0.1","0","0.9","0","0.1933","Unclassified"
"098","10","10","4","3","4","4","Low6To19","9","5","0","2","2","0.5556","0","0.2222","0.2222","0.2222","Unclassified"
"232","10","10","3","2","2","3","Low6To19","8","1","3","4","0","0.125","0.375","0.5","0","0.5923","Unclassified"
"257","10","10","5","3","3","5","Low6To19","5","0","1","4","0","0","0.2","0.8","0","0.3952","Unclassified"
"347","10","10","2","2","2","2","Low6To19","9","8","0","1","0","0.8889","0","0.1111","0","0.0556","Unclassified"
"353","10","10","3","3","4","7","Low6To19","4","3","0","1","0","0.75","0","0.25","0","0.15","Unclassified"
"370","10","10","3","3","5","4","Low6To19","6","5","1","0","0","0.8333","0.1667","0","0","0.1667","Unclassified"
"391","10","10","4","3","3","3","Low6To19","7","4","2","1","0","0.5714","0.2857","0.1429","0","0.3571","Unclassified"
"468","10","10","2","2","3","3","Low6To19","8","6","0","2","0","0.75","0","0.25","0","0.1667","Unclassified"
"545","10","10","2","2","1","2","Low6To19","8","8","0","0","0","1","0","0","0","0","Unclassified"
"552","10","10","5","3","4","8","Low6To19","3","0","0","3","0","0","0","1","0","0.4389","Unclassified"
"697","10","10","2","2","3","3","Low6To19","4","0","0","2","2","0","0","0.5","0.5","0.6667","Unclassified"
"698","10","10","2","2","3","5","Low6To19","8","4","0","0","4","0.5","0","0","0.5","0.25","Unclassified"
"702","10","10","4","3","3","5","Low6To19","7","2","0","4","1","0.2857","0","0.5714","0.1429","0.3619","Unclassified"
"772","10","10","2","2","2","3","Low6To19","8","0","0","8","0","0","0","1","0","0.6863","Unclassified"
"924","10","10","4","4","6","5","Low6To19","9","2","1","6","0","0.2222","0.1111","0.6667","0","0.3333","Unclassified"
"942","10","10","2","2","1","3","Low6To19","8","0","0","1","7","0","0","0.125","0.875","0.4792","Unclassified"
"234","9","9","5","4","4","3","Low6To19","8","3","2","1","2","0.375","0.25","0.125","0.25","0.45","Unclassified"
"250","9","9","5","2","3","2","Low6To19","8","3","2","3","0","0.375","0.25","0.375","0","0.3375","Unclassified"
"298","9","9","5","3","3","4","Low6To19","8","0","4","4","0","0","0.5","0.5","0","0.6708","Unclassified"
